Number Of Shutes Played, Number Of Hands Played, Money Remaining
312,13658,0
311,13691,0
309,13517,0
308,13472,0
311,13645,-10
308,13502,0
312,13679,0
310,13619,0
307,13488,0
308,13575,0
311,13696,0
309,13581,0
306,13429,0
309,13624,0
309,13603,0
308,13538,0
310,13538,0
309,13528,0
310,13598,0
309,13552,0
309,13633,0
305,13352,0
311,13593,0
314,13739,0
311,13639,0
308,13582,0
307,13476,0
308,13532,0
309,13587,-10
318,13971,0
308,13537,0
312,13692,0
307,13507,0
308,13524,0
306,13370,0
311,13596,0
311,13669,0
308,13573,0
312,13677,0
309,13561,0
310,13684,0
307,13503,0
309,13635,0
308,13619,0
306,13453,0
306,13466,0
310,13695,0
309,13567,0
315,13705,0
307,13450,0
314,13749,0
313,13739,0
310,13567,0
307,13503,0
312,13685,0
311,13756,0
314,13737,0
310,13664,0
310,13519,0
308,13490,0
309,13588,0
310,13601,0
308,13537,0
309,13558,0
309,13526,0
311,13642,0
305,13428,0
312,13603,-10
312,13651,0
311,13616,0
308,13394,0
313,13712,0
312,13571,0
310,13598,0
311,13624,0
308,13506,0
310,13626,0
308,13562,0
311,13674,0
310,13573,0
310,13642,0
310,13613,0
314,13839,0
307,13477,0
314,13725,0
314,13764,0
306,13405,0
311,13655,0
312,13708,0
306,13392,0
307,13538,0
307,13518,0
308,13548,0
305,13501,0
310,13609,0
310,13555,0
309,13563,0
309,13593,0
309,13535,0
313,13684,0
